date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:41	203679/203679	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/hammer/hammer.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/hammer/hammer23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:41	258421/258421	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/typeahead-js/typeahead.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/typeahead-js/typeahead23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:41	248029/248029	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/nouislider/nouislider.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/nouislider/nouislider23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:42	963783/963783	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/swiper/swiper.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/swiper/swiper23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:42	82469/82469	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/bundle/popular.min.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/bundle/popular.min23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:42	1063/1063	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-j/index.min.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-j/index.min23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:42	3420/3420	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-bootstrap5/index.min.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-bootstrap5/index.min23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:43	2350/2350	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-auto-focus/index.min.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/@form-validation/umd/plugin-auto-focus/index.min23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:43	66989/66989	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/vendor/libs/block-ui/block-ui.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/vendor/libs/block-ui/block-ui23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
22:57:43	8977/8977	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2011%20Apr%202024%2023:16:04%20GMT	https://certcpv2024.ine.gob.bo/assets/js/front-main.js?v=1.2.1	D:/my%20web%20sites/Certcpv2024/certcpv2024.ine.gob.bo/assets/js/front-main23cd.js	(from https://certcpv2024.ine.gob.bo/verificar_certificado/pQ3eriiXU5nA53QW)
